id;type_code;standardized;address_line_1;address_line_2;address_line_3;city_name;county_name;state_code;zip_code;country_name
1;challenge invoice;true;Investment Metal Operations;generating Massachusetts Krona;Kids;Oklahoma Facilitator navigate;Concrete;Rial;89288;HTTP well-modulated
2;SMTP;false;Personal Club;program;Groves;Strategist;Tasty Florida Security;magenta Rustic Direct;62268;challenge Rustic Generic
3;turquoise Engineer;true;Principal gold;Human;Concrete Data;Music;Practical Swiss payment;hacking East Sports;99597;Concrete Wooden
4;Loan;true;RSS RAM Fantastic;Ohio invoice;payment;AGP Credit;Throughway cross-media;Functionality;45541-8711;payment Investment Internal
5;Gorgeous;false;Brand;Mauritius Pants;Practical Account Automotive;SCSI payment;Generic;Intelligent THX;68188-5681;eyeballs
6;utilisation Garden circuit;false;Stream Handcrafted Cotton;Mobility;SCSI Personal;bypassing;synthesize white;compress;19664-7376;Checking transmitting Account
7;Fresh Sleek maroon;true;Card Market;syndicate SMTP web;Borders International;invoice;Guilder Representative gold;platforms;93759-7725;Ergonomic GB white
8;IB Computer;true;microchip Gorgeous Shirt;Communications tertiary Home;Oregon;Implemented Customer Cotton;Estates;Up-sized copying markets;46231-3515;generate Cambridgeshire
9;Account Buckinghamshire;true;Borders transmitting;Mission;Buckinghamshire;adapter Sleek;Gloves Rupee;Incredible;07848;Account policy
10;Division Cambridgeshire Savings;false;Ridges;Pennsylvania Handmade;robust e-services bluetooth;leverage Corporate;Account Refined;HDD;75597-2827;Prairie solution-oriented Corners
