id;address_type_code;valid_from;valid_to
1;Operations Account;2021-05-25T18:14:53;2021-05-26T01:18:03
2;COM Shoes;2021-05-25T20:04:19;2021-05-25T19:08:52
3;Analyst;2021-05-26T01:06:31;2021-05-26T12:31:59
4;Path Operations;2021-05-25T20:21:37;2021-05-25T18:16:11
5;withdrawal;2021-05-25T22:06:14;2021-05-26T11:01:14
6;sticky revolutionize;2021-05-26T05:39:16;2021-05-26T14:35:35
7;Loan Car Ameliorated;2021-05-26T13:48:34;2021-05-26T11:56:57
8;Bedfordshire;2021-05-26T08:20:01;2021-05-26T12:48:56
9;New Michigan Avon;2021-05-26T02:56:02;2021-05-25T18:47:04
10;1080p azure Idaho;2021-05-26T03:49:57;2021-05-25T21:21:33
