id;marital_type_status_code;race_ethinicity_code;citizenship_status_code;pregnant;children_count;height;weight
1;Forward back-end Ringgit;virtual;Adaptive;false;61451;optical Bedfordshire;19136
2;Front-line discrete;Vision-oriented Missouri;clicks-and-mortar;true;59355;hacking transmit;48951
3;Steel intranet;Data mobile calculate;Hat Granite Credit;false;59491;Ball Loan Sleek;45555
4;Central Manager Dynamic;Rustic;Soft Michigan;false;84853;Table mobile;69735
5;Frozen service-desk;New generate Avon;mission-critical;true;97970;Personal Denar portal;93183
6;Integration;Tala;bluetooth Plastic;true;29063;Incredible;16577
7;Multi-tiered;magenta Island Manor;override;false;79553;Rubber platforms;4662
8;hub Granite grey;mobile Implemented;bypass;true;89018;programming Assistant copying;20043
9;multimedia;magenta;Frozen Berkshire Beauty;true;83720;capability connecting;16915
10;microchip Consultant Frozen;Buckinghamshire Shoals;e-services Dynamic;true;59102;challenge;28552
